ACCESSION_NUMBER	RPTOWNERCIK	RPTOWNERNAME	RPTOWNER_RELATIONSHIP	RPTOWNER_TITLE	RPTOWNER_TXT	RPTOWNER_STREET1	RPTOWNER_STREET2	RPTOWNER_CITY	RPTOWNER_STATE	RPTOWNER_ZIPCODE	RPTOWNER_STATE_DESC	FILE_NUMBER
0001246360-20-001121	0001713197	SHANK SUZANNE F.	Director			ONE ENERGY PLAZA		JACKSON	MI	49201		001-09513
0001225208-20-006976	0001567504	Drexler Andrew	Officer	Vice President and Controller		P.O. BOX 619100		DALLAS	TX	75261-9100		001-00225
0001246360-20-001120	0001401687	Butler Deborah H	Director			ONE ENERGY PLAZA		JACKSON	MI	49201		001-09513
0001127602-20-015156	0001396628	Reif Leo Rafael	Director			5599 SAN FELIPE, 17TH FLOOR		HOUSTON	TX	77056		001-04601
0001246360-20-001119	0001333724	Sznewajs John G	Director			ONE ENERGY PLAZA		JACKSON	MI	49201		001-09513
0001246360-20-001118	0001209101	HARVEY WILLIAM D	Director			ONE ENERGY PLAZA		JACKSON	MI	49201		001-09513
0001246360-20-001117	0001180661	RUSSELL JOHN G	Director			ONE ENERGY PLAZA		JACKSON	MI	49201		001-09513
0001246360-20-001116	0001181676	BARFIELD JON E	Director			ONE ENERGY PLAZA		JACKSON	MI	49201		001-09513
0000707549-20-000085	0001469469	Bettinger Douglas R	Officer	Chief Financial Officer & EVP			4650 CUSHING PARKWAY	FREMONT	CA	94538		000-12933
0001246360-20-001115	0001631411	Soto Myrna	Director			ONE ENERGY PLAZA		JACKSON	MI	49201		001-09513
0001246360-20-001114	0001263270	DARROW KURT L	Director			ONE ENERGY PLAZA		JACKSON	MI	49201		001-09513
0000714310-20-000100	0001170941	JONES GRAHAM O	Director			1455 VALLEY ROAD		WAYNE	NJ	07470		001-11277
0001246360-20-001113	0001209940	TANSKI RONALD J	Director			ONE ENERGY PLAZA		JACKSON	MI	49201		001-09513
0001204975-20-000011	0001235058	HUGHES BILL	Director			5429 LBJ FREEWAY	SUITE 230	DALLAS	TX	75240		000-04197
0001204975-20-000010	0001165983	HARLIN RAY M	Director									000-04197
0000714310-20-000098	0001421013	LENNER MARC J	Director			1455 VALLEY ROAD		WAYNE	NJ	07470-		001-11277
0001127602-20-015154	0001185612	Papa Mark G	Director			5599 SAN FELIPE ST, 17TH FLOOR		HOUSTON	TX	77056		001-04601
0001127602-20-015152	0001201524	BOYCE DAVID S	Officer	EVP, Pres. & CEO Tompkins Ins.		TOMPKINS FINANCIAL CORPORATION	P O BOX 460	ITHACA	NY	14851		001-12709
0001567619-20-008895	0001609079	Losquadro Geraldine	Director			200 EAST 74TH STREET APT 10		NEW YORK CITY	NY	10021		001-15731
0001314626-20-000020	0001314626	AGEE NANCY H	Director			PO BOX 13007		ROANOKE	VA	24030		000-26591
0000707179-20-000078	0001619690	Hermann Daniel S	Director			ONE MAIN STREET		EVANSVILLE	IN	47708		001-15817
0000707179-20-000077	0001810993	Ramirez Austin M	Director			ONE MAIN STREET		EVANSVILLE	IN	47708		001-15817
0001204975-20-000009	0001181012	CARDIN RICHARD W	Director			5429 LBJ FREEWAY	SUITE 230	DALLAS	TX	75240		000-04197
0001127602-20-015151	0001518053	Olayan Lubna S.	Director			5599 SAN FELIPE, 17TH FLOOR		HOUSTON	TX	77056		001-04601
0001127602-20-015150	0001201525	ROMAINE STEPHEN S	Director,Officer	President & CEO		TOMPKINS FINANCIAL CORPORATION	P.O. BOX 460	ITHACA	NY	14851		001-12709
0001209191-20-026721	0001304194	SWITZER BRYAN K	Officer	Vice President		630 E FOOTHILL BLVD		SAN DIMAS	CA	91773		001-14431
0001204975-20-000008	0001206723	ODISHAW EDWARD A	Director			5429 LBJ FREEWAY	SUITE 230	DALLAS	TX	75240		000-04197
0001471265-20-000040	0001626091	Reitzes Mark T.	Officer	Sr. EVP Commercial Lending		100 LIBERTY STREET		WARREN	PA	16365		001-34582
0001127602-20-015148	0001749029	Mitrova Tatiana	Director			5599 SAN FELIPE ST., 17TH FLOOR		HOUSTON	TX	77056		001-04601
0001204975-20-000007	0001206721	DOUMET ANTOINE M	Director			5429 LBJ FREEWAY	SUITE 230	DALLAS	TX	75240		000-04197
0001127602-20-015144	0001703610	Galuccio Miguel Matias	Director			5599 SAN FELIPE ST., 17TH FLOOR		HOUSTON	TX	77056		001-04601
0000715072-20-000144	0001511021	Perry Curtis J	Officer	EVP		209 TROY STREET		TUPELO	MS	38804		001-13253
0000715072-20-000143	0001514081	Chapman Kevin D	Officer	EVP/CFO and COO		209 TROY STREET	P.O. BOX 709	TUPELO	MS	38804		001-13253
0001127602-20-015141	0001792876	de La Chevardiere Patrick	Director			5599 SAN FELIPE, 17TH FLOOR		HOUSTON	TX	77056		001-04601
0001615594-20-000027	0001777352	Frey Travis	Officer	Chief Technology Officer		2800 MOUNT RIDGE ROAD		ROSEVILLE	MN	55113		001-38161
0001754632-20-000004	0001754632	Yoss Jennifer	Officer	Vice President of Accounting		2010 MAIN STREET SUITE 600		IRVINE	CA	92614		000-19291
0001214659-20-004014	0001202922	WALKER BRIAN C	Director			2801 EAST BELTLINE NE		GRAND RAPIDS	MI	49525		000-22684
0001052918-20-000108	0001446893	Jones Eric T	Director,Officer	CEO		11770 W. PRESIDENT DRIVE, STE F		BOISE	ID	83713		001-08429
0001214659-20-004013	0001666215	Wooldridge Michael G.	Director			2801 EAST BELTLINE NE		GRAND RAPIDS	MI	49525		000-22684
0001214659-20-004009	0001403967	Tuuk Mary E	Director			2801 EAST BELTLINE NE		GRAND RAPIDS	MI	49525		000-22684
0001703039-20-000002	0001703039	Shishin Maxim	Officer	Chief Information Officer		2010 MAIN STREET SUITE 600		IRVINE	CA	92614		000-19291
0001104659-20-056110	0001120478	GOLDSTEIN DOV A MD	Director			C/O 700 TECHNOLOGY DRIVE, THIRD FLOOR		PITTSBURGH	PA	15219		001-35963
0001214659-20-004003	0001277320	MERINO BRUCE A	Director			2801 EAST BELTLINE NE		GRAND RAPIDS	MI	49525		000-22684
0001754499-20-000008	0001754499	O'Brien Brandon	Officer	Chief Financial Officer		2010 MAIN STREET SUITE 600		IRVINE	CA	92614		000-19291
0001388658-20-000071	0001658725	BUDIG RENEE VARNI	Director			C/O IRHYTHM TECHNOLOGIES, INC.	699 8TH ST. #600	SAN FRANCISCO	CA	94103		001-37918
0001214659-20-004002	0001548371	Rhodes Thomas Wayne	Director			2801 EAST BELTLINE NE		GRAND RAPIDS	MI	49525		000-22684
0001214659-20-004001	0001799835	McLean Benjamin J.	Director			2801 E BELTLINE AVE NE		GRAND RAPIDS	MI	49525		000-22684
0001567619-20-008892	0001660246	Wexler Lawrence	Director,Officer	President and CEO		393 CARTER STREET		CANAAN	CT	06840		001-37763
0000704051-20-000052	0001206673	SULLIVAN JOSEPH A	Director,Officer	Chairman, President & CEO		LEGG MASON, INC.	100 INTERNATIONAL DRIVE	BALTIMORE	MD	21202		001-08529
0001214659-20-004000	0000940226	CURRIE WILLIAM G	Director			2801 EAST BELTINE N E		GRAND RAPIDS	MI	49505		000-22684
0000704051-20-000051	0001679163	Lattin Patricia	Officer	Executive Vice President		LEGG MASON, INC.	100 INTERNATIONAL DRIVE	BALTIMORE	MD	21202		001-08529
0001654954-20-004859	0001775430	Tidwell Michael R	Officer	Vice President Mktg & Bus Dev		6645 185TH AVE. N.E., SUITE 100		REDMOND	WA	98052		000-10394
0000704051-20-000050	0001573686	Johnson Terence	Officer	Executive Vice President		LEGG MASON, INC.	100 INTERNATIONAL DRIVE	BALTIMORE	MD	21202		001-08529
0000704051-20-000049	0001573664	Merchant Thomas C	Officer	Exec VP & General Counsel		LEGG MASON, INC.	100 INTERNATIONAL DRIVE	BALTIMORE	MD	21202		001-08529
0000899243-20-011846	0001281933	BRATTON DOUGLAS K	Director,TenPercentOwner			201 MAIN STREET, SUITE 1900		FORT WORTH	TX	76102		000-10685
0000899243-20-011846	0001536054	Crestline Management, LP	Director,TenPercentOwner			201 MAIN STREET, SUITE 1900		FORT WORTH	TX	76102		000-10685
0000899243-20-011846	0001810802	CRESTLINE ASSURANCE HOLDINGS LLC	Director,TenPercentOwner			201 MAIN STREET, SUITE 1900		FORT WORTH	TX	76102		000-10685
0000899243-20-011846	0001626596	Crestline Investors, Inc.	Director,TenPercentOwner			201 MAIN STREET, SUITE 1900		FORT WORTH	TX	76102		000-10685
0000704051-20-000048	0001510019	Nachtwey Peter	Officer	Sr. Executive VP & CFO		LEGG MASON, INC.	100 INTERNATIONAL DRIVE	BALTIMORE	MD	21202		001-08529
0001323468-20-000020	0001339396	Global GP LLC	Other		General Partner	800 SOUTH STREET	SUITE 500	WALTHAM	MA	02453		001-32593
0001641248-20-000006	0001641248	Combs Michael G	Officer	CEO & President		2010 MAIN STREET SUITE 600		IRVINE	CA	92614		000-19291
0000842517-20-000071	0001596032	Schwind Jerome E	Director,Officer	President		1280 QUEENSWAY		LAKE ISABELLA	MI	48893		000-18415
0000842517-20-000070	0001257659	WHEELER PEGGY	Officer	Chief Operations Officer		1525 S. LOOMIS		MT. PLEASANT	MI	48858		000-18415
0000714310-20-000096	0001208462	WILKS JEFFREY S	Director			1455 VALLEY ROAD		WAYNE	NJ	07470		001-11277
0000946724-20-000014	0000946724	CLEMONS V GORDON	Director,Officer	Chairman of the Board		2010 MAIN STREET SUITE 600		IRVINE	CA	92614		000-19291
0000714310-20-000094	0001421170	SANI SURESH L	Director			1455 VALLEY ROAD		WAYNE	NJ	07470-		001-11277
0000920112-20-000139	0001504067	FOX BRIAN	Officer	EVP, Operations		1398 CENTRAL AVE		DUBUQUE	IA	52001		001-15393
0001209191-20-026718	0001746894	Bryan Murray	Officer	CFO		350 E. PLUMERIA DR.		SAN JOSE	CA	95134		000-50350
0001225208-20-006974	0001772603	Sutherland Vanessa Allen	Officer	EVP & Chief Legal Officer		THREE COMMERCIAL PLACE		NORFOLK	VA	23510		001-08339
0000074260-20-000052	0001185444	ZUCARO ALDO C	Director			307 N. MICHIGAN AVENUE		CHICAGO	IL	60601		001-10607
0001104659-20-056084	0001811215	Fitzpatrick Clement Tranum	Other		CEO & CIO, Vulcan	C/O VULCAN VALUE PARTNERS	2801 HIGHWAY 280 SOUTH, SUITE 300	BIRMINGHAM	AL	35223		811-23567
0000714310-20-000092	0001801488	MAIO PETER V	Director			1455 VALLEY ROAD		WAYNE	NJ	07470		001-11277
0001225208-20-006973	0001431849	Corkrean John J	Officer	Executive VP and CFO		1200 WILLOW LAKE BOULEVARD	P.O. BOX 64683	ST. PAUL	MN	55164-0683		001-09225
0000714310-20-000090	0001553528	Baum Peter J	Director			1455 VALLEY ROAD		WAYNE	NJ	07470		001-11277
0001450607-20-000007	0001450607	BLAHA DIANE	Officer	Chief Marketing Officer		2010 MAIN STREET SUITE 600		IRVINE	CA	92614		000-19291
0001325670-20-000042	0001536263	Jennings W. Bruce	Director			11021 MERION LANE		FAIRFAX	VA	22030		001-33037
0000714310-20-000088	0001170936	ABRAMSON ANDREW B	Director			1455 VALLEY ROAD		WAYNE	NJ	07470		001-11277
0001225208-20-006972	0001807831	Weaver Nathan D.	Officer	VP, Human Resources		1200 WILLOW LAKE BOULEVARD	P.O. BOX 64683	ST. PAUL	MN	55164-0683		001-09225
0001225208-20-006971	0001666560	Cai Zhiwei	Officer	Executive Vice President, EA		1200 WILLOW LAKE BOULEVARD	P.O. BOX 64683	ST. PAUL	MN	55164-0683		001-09225
